customer_id,customer_name,account_class,first_invoice_date
CUST-01,Halden Foods,standard,2025-09-14
CUST-02,Pinemoor Logistics,standard,2023-02-01
CUST-03,Orrin Health,standard,2025-07-01
CUST-04,Tessaly Retail,standard,2025-06-30
CUST-05,Kestrel Internal Ops,house,2019-01-10
CUST-06,Brightwater Media,standard,2025-11-03
CUST-07,Corvid Manufacturing,standard,2021-05-20
CUST-08,Lumen Dental Group,standard,2024-12-12
CUST-09,Ashgrove Schools,standard,2026-01-20
CUST-10,Northfield Energy,standard,2022-08-08
CUST-11,Vantage Labs,House,2020-03-03
CUST-12,Redcliff Marine,standard,2025-08-19
CUST-13,Sable & Finch LLP,standard,2024-04-01
CUST-14,Ironbridge Civil,standard,2026-03-05
CUST-15,Meadowlark Clinics,standard,2023-10-10
CUST-16,Quarry Hill Farms,standard,2025-12-01
CUST-17,Fenwick Optics,standard,2026-02-11
CUST-18,Corvid Manufacturing (UK) Ltd,standard,2026-06-28
CUST-19,Alder Marine,standard,2021-01-27
CUST-20,Birch Farms,standard,2023-05-26
CUST-21,Cobalt Schools,standard,2025-01-13
CUST-22,Dunmore Media,standard,2021-05-22
CUST-23,Ember Textiles,standard,2025-06-30
CUST-24,Fallow Textiles,standard,2025-10-05
CUST-25,Granite Textiles,standard,2023-04-07
CUST-26,Harlow Marine,standard,2021-05-01
CUST-27,Isley Systems,house,2020-05-22
CUST-28,Juniper Foods,standard,2020-09-24
CUST-29,Kelso Analytics,standard,2024-07-14
CUST-30,Larkin Energy,standard,2024-09-22
CUST-31,Marrow Logistics,standard,2025-07-01
CUST-32,Nettle Farms,standard,2024-02-05
CUST-33,Oakridge Systems,standard,2022-05-11
CUST-34,Pellman Labs,standard,2025-08-29
CUST-35,Quill Analytics,standard,2022-03-21
CUST-36,Rowan Farms,standard,2023-01-27
CUST-37,Sorrel Farms,standard,2025-02-11
CUST-38,Thorne Holdings,standard,2022-06-30
CUST-39,Umber Clinics,standard,2021-10-17
CUST-40,Vesper Labs,standard,2022-01-10
CUST-41,Wrenfield Optics,standard,2025-01-13
CUST-42,Yarrow Holdings,standard,2021-02-20
CUST-43,Zeller Analytics,standard,2024-10-20
CUST-44,Ashby Systems,House,2022-05-03
CUST-45,Bramble Schools,standard,2020-05-07
CUST-46,Calder Brewing,standard,2019-10-14
CUST-47,Dorset Systems,standard,2024-03-04
CUST-48,Elmsley Brewing,standard,2022-04-19
CUST-49,Finch Optics,standard,2021-03-07
CUST-50,Garland Brewing,standard,2021-10-05
CUST-51,Hollis Freight,standard,2025-04-17
CUST-52,Ivory Civil,standard,2020-09-08
CUST-53,Jarrow Schools,standard,2023-03-25
CUST-54,Kestrel Freight,standard,2020-08-01
CUST-55,Linden Optics,standard,2023-09-09
CUST-56,Moss Civil,standard,2020-09-16
CUST-57,Norwell Health,standard,2022-11-28
CUST-58,Osprey Media,standard,2025-07-11
